weather_condition,time,stop_location,accident_severity,crime_category,passenger_count
Stormy,Evening,Zone E,Minor,Theft,151.24775793693894
Foggy,Evening,Zone D,Severe,Theft,187.8634395806095
Rainy,Evening,Zone A,None,Theft,80.44232241606394
Foggy,Night,Zone B,Severe,Drug Offense,94.08674798860427
Foggy,Evening,Zone A,Major,Assault,124.05332557116996
Cloudy,Morning,Zone C,Minor,Theft,162.48938529565382
Rainy,Evening,Zone A,None,None,126.04694867840719
Rainy,Afternoon,Zone D,Major,Theft,34.0
Rainy,Afternoon,Zone A,None,None,28.56381540559885
Foggy,Afternoon,Zone C,Minor,Theft,87.0
Stormy,Evening,Zone C,Severe,Theft,110.29187012593765
Rainy,Morning,Zone D,Severe,Vandalism,137.2307921892534
Foggy,Morning,Zone B,None,Assault,126.84700065550774
Cloudy,Evening,Zone E,Major,Drug Offense,125.96256473897466
Stormy,Evening,Zone B,None,None,87.68623987615209
Cloudy,Night,Zone E,None,Assault,56.6662160328589
Stormy,Evening,Zone D,Severe,Vandalism,135.11423305386865
Foggy,Afternoon,Zone D,Major,Vandalism,67.0
Clear,Night,Zone D,None,Theft,29.5934163547451
Stormy,Night,Zone C,Major,None,50.0518082369082
Cloudy,Evening,Zone B,Major,Assault,135.39366890883073
Foggy,Evening,Zone E,Minor,None,182.19948659596724
Stormy,Night,Zone B,Minor,None,116.79656354301905
Clear,Night,Zone E,Minor,Drug Offense,69.84118860978234
Clear,Night,Zone A,None,Theft,25.899837237660584
Rainy,Night,Zone B,Severe,Vandalism,74.99512600813382
Rainy,Night,Zone A,Minor,Drug Offense,76.0
Cloudy,Morning,Zone D,None,Vandalism,100.51585899356675
Stormy,Night,Zone C,Major,Assault,74.78646761493069
Stormy,Night,Zone C,Minor,Drug Offense,89.3060831811033
Rainy,Morning,Zone B,Major,Vandalism,134.00562876202002
Stormy,Afternoon,Zone A,Minor,None,108.43670260735563
Stormy,Afternoon,Zone A,Minor,None,121.64929541286601
Clear,Afternoon,Zone E,Severe,Theft,62.68242712553516
Rainy,Afternoon,Zone B,Severe,Vandalism,60.54537176366433
Foggy,Evening,Zone B,Severe,Drug Offense,207.92059922865954
Rainy,Evening,Zone A,Minor,Assault,199.83606833430431
Foggy,Night,Zone A,None,None,54.48951165430102
Clear,Night,Zone C,None,Drug Offense,40.33976276310631
Cloudy,Afternoon,Zone B,None,Theft,66.69418729393394
Stormy,Afternoon,Zone C,Severe,Theft,52.93712543302008
Clear,Morning,Zone D,Major,Assault,103.84786976013397
Stormy,Morning,Zone D,Minor,None,154.41824586753282
Cloudy,Morning,Zone A,Major,Vandalism,140.12832722538084
Cloudy,Afternoon,Zone E,Severe,Vandalism,96.689322413887
Clear,Morning,Zone A,Major,None,100.08418053193452
Cloudy,Night,Zone B,Major,Assault,95.0
Foggy,Afternoon,Zone A,Major,Assault,47.0
Cloudy,Evening,Zone C,None,Theft,83.36538014684072
Stormy,Afternoon,Zone A,None,Vandalism,53.50216724484922
Stormy,Evening,Zone C,None,Theft,133.94463714982268
Stormy,Evening,Zone D,Severe,Vandalism,159.71506953898
Stormy,Afternoon,Zone C,None,Drug Offense,52.446774108699
Foggy,Morning,Zone B,Severe,Drug Offense,182.3572324839955
Rainy,Night,Zone A,Minor,Assault,95.0
Clear,Afternoon,Zone B,Severe,Vandalism,88.68218208440037
Stormy,Morning,Zone C,None,Assault,114.5177657499364
Cloudy,Evening,Zone C,None,Theft,118.17637593919447
Stormy,Evening,Zone C,Minor,Theft,132.75218704525716
Cloudy,Evening,Zone C,None,Theft,84.76824745654363
Cloudy,Evening,Zone C,Major,Theft,134.69421869418258
Stormy,Afternoon,Zone A,None,Drug Offense,36.02896010624433
Foggy,Night,Zone E,Major,Assault,53.0
Cloudy,Evening,Zone B,None,Vandalism,147.70252199910033
Cloudy,Morning,Zone D,Major,Vandalism,155.752128711099
Stormy,Morning,Zone D,None,Assault,148.61818044563202
Cloudy,Night,Zone B,Minor,Assault,94.0
Cloudy,Night,Zone A,Major,Assault,58.0
Stormy,Night,Zone B,Severe,Assault,56.11851976584975
Stormy,Evening,Zone C,None,Theft,129.29937731387366
Clear,Afternoon,Zone E,Severe,None,68.51285382807124
Foggy,Evening,Zone B,Major,Vandalism,147.13195878012323
